gene	diff	rank
Cxcl13	1	1
Spp1	1	2
Apoe	1	3
Axl	1	4
Ccl3	1	5
Mmp12	1	6
S100a8	1	7
Ttr	1	8
S100a9	1	9
Cd36	1	10
Cd74	1	11
Ifitm3	1	12
H2-aa	1	13
Cybb	1	14
Cxcr4	1	15
Clec7a	1	16
Rai14	1	17
Lilrb4	1	18
Fxyd5	1	19
5430435g22rik	1	20
Ifitm2	1	21
H2-eb1	1	22
Fgl2	1	23
Cst7	1	24
Ltf	1	25
Cd44	1	26
Cyfip2	1	27
Ctse	1	28
Camp	1	29
Lgals3	1	30
Oasl2	1	31
H2-ab1	1	32
Rsad2	1	33
St8sia6	1	34
Cd274	1	35
Lgals3bp	1	36
Anxa2	1	37
Igf2r	1	38
Lcn2	1	39
Egr2	1	40
Ly9	1	41
H2-m2	1	42
Ube2e2	1	43
Ngp	1	44
Iqgap1	1	45
Il1r1	1	46
Dusp1	1	47
Pcdhb22	1	48
Cxcl16	1	49
Usp18	1	50
